문제,보기1,보기2,보기3,보기4,정답번호,해설
생성형 AI가 사실이 아닌 내용을 그럴듯하게 지어내는 현상을 무엇이라고 하나요?,오버피팅,할루시네이션(환각),토크나이징,파인튜닝,2,"생성형 AI는 학습 데이터를 바탕으로 확률적으로 문장을 만들기 때문에, 사실이 아닌 내용을 그럴듯하게 생성할 수 있습니다."
AI에게 역할·목표·제약을 미리 지정해 두는 지침을 무엇이라고 하나요?,쿠키,캐시,시스템 프롬프트,메타데이터,3,시스템 프롬프트는 대화 전체에 적용되는 기본 지침으로 AI의 역할과 답변 방식을 정합니다.
다음 중 프롬프트 품질을 높이는 방법과 가장 거리가 먼 것은?,원하는 출력 형식을 지정한다,구체적인 예시를 함께 제공한다,질문을 최대한 모호하게 작성한다,AI에게 역할을 부여한다,3,"질문이 모호할수록 답변도 모호해집니다. 형식·예시·역할을 구체적으로 주는 것이 좋습니다."
RAG(검색 증강 생성)의 목적으로 가장 알맞은 것은?,모델 파라미터 수를 줄인다,그래픽 성능을 높인다,네트워크 속도를 높인다,문서를 검색해 답변의 근거를 보강한다,4,RAG는 질문과 관련된 문서를 먼저 찾아 근거로 제공함으로써 답변의 정확도를 높이는 방식입니다.
LLM이 텍스트를 처리하는 기본 단위는 무엇인가요?,픽셀,토큰,프레임,패킷,2,LLM은 문장을 토큰이라는 작은 조각으로 쪼개어 처리하며 비용과 길이 제한도 토큰 기준입니다.
업무에서 생성형 AI의 답변을 활용하기 전에 가장 먼저 해야 할 일은?,그대로 결재에 반영한다,즉시 외부에 공유한다,출처와 사실 관계를 확인한다,원본 자료를 삭제한다,3,AI 답변에는 오류가 섞일 수 있으므로 활용 전 사실 확인이 필수입니다.
다음 중 AI 도구에 입력하면 안 되는 정보는?,공개된 보도자료,고객의 주민등록번호,공개된 통계 수치,일반 상식 질문,2,"주민등록번호, 연락처 같은 개인정보는 AI 도구에 입력하지 않는 것이 원칙입니다."
파인튜닝(fine-tuning)에 대한 설명으로 알맞은 것은?,사전학습된 모델을 특정 데이터로 추가 학습시키는 것,디스크 조각 모음을 실행하는 것,모니터 해상도를 조정하는 것,압축 파일을 해제하는 것,1,파인튜닝은 이미 학습된 모델에 특정 분야의 데이터를 추가로 학습시켜 성능을 맞추는 방법입니다.
AI에게 '단계별로 차근차근 생각해 보라'고 지시하는 프롬프트 기법은?,캐싱,라우팅,사고 사슬(Chain of Thought),마이그레이션,3,중간 추론 과정을 거치게 하면 복잡한 문제에서 답변의 정확도가 올라가는 경우가 많습니다.
생성형 AI가 만든 이미지나 문서를 외부에 사용할 때 유의할 점으로 가장 알맞은 것은?,파일 크기만 확인하면 된다,해상도만 확인하면 된다,특별히 유의할 점이 없다,저작권·초상권 침해 여부를 확인한다,4,"AI 생성물이라도 기존 저작물이나 인물과 유사하면 저작권, 초상권 문제가 생길 수 있습니다."
임베딩(embedding)에 대한 설명으로 알맞은 것은?,텍스트의 의미를 숫자 벡터로 변환하는 것,문서를 인쇄하는 기술,화면을 캡처하는 방식,파일을 압축하는 방식,1,임베딩은 의미가 비슷한 텍스트가 가까운 벡터가 되도록 변환하는 기술로 검색·추천에 쓰입니다.
인터넷이 차단된 폐쇄망 환경에서 LLM을 활용하는 대표적인 방법은?,공용 클라우드 챗봇에 접속한다,내부 서버에 오픈소스 모델을 설치한다,개인 휴대폰 테더링을 이용한다,SNS로 외부에 문의한다,2,폐쇄망에서는 외부 API를 쓸 수 없으므로 내부 서버에 모델을 직접 설치해 운영합니다.
AI의 답변이 최신 정보와 다를 수 있는 주된 이유는?,학습 데이터에 기준 시점(컷오프)이 있기 때문,키보드 오타 때문,모니터 밝기 때문,프린터 설정 때문,1,"모델은 특정 시점까지의 데이터로 학습되므로, 그 이후의 사건이나 변경 사항은 알지 못할 수 있습니다."
문서나 웹페이지에 숨겨진 지시문으로 AI의 동작을 조종하려는 공격을 무엇이라고 하나요?,피싱,랜섬웨어,프롬프트 인젝션,디도스,3,프롬프트 인젝션은 입력 자료에 몰래 지시문을 심어 AI가 원래 지침을 어기게 만드는 공격입니다.
생성형 AI의 답변은 항상 사실이므로 검증 없이 업무에 사용해도 된다.,O,X,,,2,AI 답변에는 오류나 지어낸 내용이 섞일 수 있어 반드시 사실 확인 후 사용해야 합니다.
같은 질문이라도 프롬프트를 어떻게 쓰느냐에 따라 답변 품질이 크게 달라질 수 있다.,O,X,,,1,"맥락, 형식, 예시를 어떻게 주느냐에 따라 같은 모델도 전혀 다른 품질의 답을 냅니다."
개인정보나 사내 기밀은 외부 AI 서비스에 입력하지 않는 것이 원칙이다.,O,X,,,1,외부 서비스에 입력된 정보는 통제할 수 없으므로 개인정보와 기밀은 입력하지 않아야 합니다.
AI가 요약한 문서는 원문 대조 없이 그대로 공식 문서로 배포해도 된다.,O,X,,,2,요약 과정에서 수치나 맥락이 왜곡될 수 있으므로 공식 배포 전에는 원문과 대조해야 합니다.
프롬프트에 원하는 결과의 예시를 넣으면 원하는 형식의 답을 얻는 데 도움이 된다.,O,X,,,1,예시(few-shot)를 제공하면 모델이 출력 형식과 수준을 따라 하기 쉬워집니다.
토큰 수가 아무리 늘어나도 AI의 응답 속도나 비용에는 영향이 없다.,O,X,,,2,입력·출력 토큰이 많아질수록 처리 시간이 길어지고 비용도 늘어납니다.
